              ,                                                 ,            ,         ,                            ,                                                                                                             ,                                                                                                                                            ,                                                                                                            , 
Component     , File Path                                       , Line Number, Severity, Issue Type                 , Issue Description                                                                                           , Code Snippet                                                                                                                               , Suggested Fix                                                                                              , Source
Miracast      , Miracast/common/MiracastCommon.cpp              , 91         , Critical, Memory Leak                , malloc() allocated buffer may leak if g_async_queue_push fails or throws exception                          , "void *buffer = malloc(msg_size); g_async_queue_push(m_g_queue, buffer);"                                                                  , Use std::unique_ptr or wrap in try-catch with proper cleanup                                               , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 92         , High    , Unchecked Return Value     , malloc() return value checked but error path doesn't maintain semaphore balance                             , if (nullptr == buffer) { MIRACASTLOG_ERROR(...); return; }                                                                                 , Post semaphore or set error flag before return                                                             , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 108        , High    , Race Condition             , "sem_getvalue and sem_wait not atomic, count may change between check and wait"                             , "sem_getvalue(&m_empty_msgq_sem_obj,&count); if ((0 < count)...) { sem_wait(...); }"                                                       , Use sem_trywait() or lock around sem_getvalue+sem_wait sequence                                            , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 135        , Medium  , Resource Leak              , getline() allocates memory that may leak on early loop break or exception                                   , "while (getline(&current_line_buffer, &len, popen_pipe_ptr) != -1)"                                                                        , Ensure free(current_line_buffer) called in all exit paths including breaks                                 , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 179        , Critical, Command Injection          , system() called with potentially user-controllable input without sanitization                               , return_value = system(system_command_buffer);                                                                                              , Validate/sanitize input or use execve() with argument array                                                , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 220        , High    , Format String Vulnerability, sprintf appends user data which may contain format specifiers                                               , "sprintf(buffer + strlen(buffer), ""%s"", current_line_buffer);"                                                                           , Validate current_line_buffer doesn't contain % characters or use safe string ops                           , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 232        , High    , Use After Free Risk        , pclose called but popen_pipe_ptr not set to nullptr immediately                                             , pclose(popen_pipe_ptr); popen_pipe_ptr = nullptr;                                                                                          , Set to nullptr atomically or ensure no concurrent access                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 258        , Critical, Infinite Loop Risk         , Retry loop may never exit if popen fails repeatedly with specific errno values                              , while ( retry_index <= retry_count ) { ... popen(...); }                                                                                   , Add maximum time limit or validate retry_count not MAX_UINT                                                , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 289        , Medium  , Race Condition             , m_isDestructing checked without holding mutex lock in wait predicate                                        , if (m_isDestructing) { MIRACASTLOG_INFO(...); }                                                                                            , Move check inside mutex-protected section                                                                  , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 305        , High    , Deadlock Risk              , Complex condition variable logic with multiple CVs may cause deadlock                                       , "m_condNotFull.wait_for(lk, ...) and m_condNotEmpty.wait_for(lk, ...)"                                                                     , Review lock ordering and ensure no circular waits between CVs                                              , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 337        , Low     , Debug Code in Production   , std::cout used for debugging instead of proper logging framework                                            , "std::cout << ""[sendData] data at address: "" << new_value << std::endl;"                                                                 , Replace with MIRACASTLOG_TRACE or remove entirely                                                          , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 374        , Medium  , Null Pointer Dereference   , userParam passed to callback without validation that it's non-null                                          , m_free_resource_cb(userParam);                                                                                                             , Check userParam != nullptr before calling callback                                                         , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 24         , Low     , Duplicate Include          , iostream included twice at lines 22 and 27                                                                  , #include <iostream>                                                                                                                        , Remove duplicate include statement                                                                         , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 221        , Medium  , Non-Virtual Destructor     , MiracastThread destructor not virtual but class may be inherited                                            , ~MiracastThread();                                                                                                                         , Make virtual: virtual ~MiracastThread();                                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 242        , Medium  , Uninitialized Member       , m_currentMsgCount not initialized in class definition                                                       , int m_currentMsgCount;                                                                                                                     , Initialize: int m_currentMsgCount{0};                                                                      , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 47         , Medium  , Thread Safety              , gDefaultLogLevel accessed without synchronization from multiple threads                                     , static int gDefaultLogLevel = INFO_LEVEL;                                                                                                  , Use std::atomic<int> or mutex protection                                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 86         , High    , Buffer Overflow Risk       , vsnprintf may truncate but truncation not checked                                                           , "vsnprintf(formatted, kFormatMessageSize, format, argptr);"                                                                                , Check return value >= kFormatMessageSize and log truncation warning                                        , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 89         , Low     , Non-Portable Function      , basename() modifies input and behavior differs across platforms                                             , basename(file)                                                                                                                             , Use portable path parsing or ensure const safety                                                           , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 126        , Critical, Singleton Thread Safety    , "getInstance() lacks thread-safe initialization, may create multiple instances"                             , if (nullptr == m_rtsp_msg_obj) { m_rtsp_msg_obj = new MiracastRTSPMsg(); }                                                                 , Use std::call_once with std::once_flag or double-checked locking with mutex                                , Manual Analysis
